authority,station_name,longitude,latitude,time,flood_depth_cm
高雄市政府水利局,鳳仁路與澄觀路口,120.3534,22.686167,2025-11-10T13:03:34Z,0.0
新竹市政府消防局,中福路與中光路口,120.93429,24.839981,2025-11-10T13:11:00Z,0.0
花蓮縣政府水利科,國盛抽水站,121.60743,23.991014,2025-11-10T13:08:36Z,200.56790161133
花蓮縣政府水利科,國盛抽水站,121.60743,23.991014,2025-11-10T13:08:36Z,199.99998474121
新北市政府水利局(智慧防汛),泰山區泰林路與新北大道口,121.43886,25.052155,2025-11-10T13:04:00Z,0.0
臺南市政府水利局,北區-公園北路88巷55號旁(編號299),120.21077,23.005909,2025-11-10T14:00:00Z,0.0
水利署水文技術組,潭墘(1),120.34756,23.835608,2025-11-10T13:10:00Z,1.825
第三河川分署,烏溪右岸頂勞胥路堤2K+177(水門),120.591,24.1088,2025-11-10T13:09:00Z,2.0
第三河川分署,烏溪右岸頂勞胥路堤2K+177(水門),120.591,24.1088,2025-11-10T13:08:00Z,1.0
第三河川分署,烏溪右岸頂勞胥路堤2K+177(水門),120.591,24.1088,2025-11-10T13:10:01Z,231.4
第三河川分署,烏溪右岸頂勞胥路堤2K+177(水門),120.591,24.1088,2025-11-10T13:10:01Z,229.8
第三河川分署,烏溪右岸頂勞胥路堤2K+177(水門),120.591,24.1088,2025-11-10T13:10:01Z,233.8
第三河川分署,烏溪右岸頂勞胥路堤2K+177(水門),120.591,24.1088,2025-11-10T13:02:00Z,0.0
第三河川分署,烏溪右岸頂勞胥路堤2K+177(水門),120.591,24.1088,2025-11-10T13:10:01Z,227.4
第三河川分署,烏溪右岸頂勞胥路堤2K+177(水門),120.591,24.1088,2025-11-10T13:08:00Z,0.0
第三河川分署,烏溪右岸頂勞胥路堤2K+177(水門),120.591,24.1088,2025-11-10T13:10:01Z,230.6
第三河川分署,烏溪右岸頂勞胥路堤2K+177(水門),120.591,24.1088,2025-11-10T13:10:01Z,229.0
第三河川分署,烏溪右岸頂勞胥路堤2K+177(水門),120.591,24.1088,2025-11-10T13:08:00Z,1.0
臺南市政府水利局,新營區-姑爺里新生國小(編號332),120.25856,23.275734,2025-11-10T14:00:00Z,0.0
台中市政府水利局,豐原區朴子里國豐路三段與朴子街路口,120.73726,24.272766,2025-11-10T13:55:00Z,0.0
嘉義縣政府水利處,CYC136 民雄鄉大崎村,120.47376,23.517036,2025-11-10T13:10:52Z,0.0
桃園巿政府水務局(智慧防汛),南上路350巷-2,121.3047,25.042381,2025-11-10T13:05:00Z,0.0
新竹市政府消防局,南寮抽水站內水,120.93123,24.846827,2025-11-10T13:04:00Z,0.176
水利署水文技術組,延平,121.08458,22.898354,2025-11-10T13:10:00Z,153.85
嘉義縣政府水利處,嘉義縣-007,120.24898,23.537983,2025-11-10T13:02:04Z,0.0
嘉義縣政府水利處,嘉義縣-007,120.24898,23.537983,2025-11-10T13:02:04Z,0.0
嘉義縣政府水利處,CYC060 太保市北新里聖后宮旁,120.39863,23.50433,2025-11-10T13:59:05Z,0.0
嘉義縣政府水利處,CYC092 民雄鄉菁埔村菁埔,120.39902,23.55589,2025-11-10T13:35:23Z,0.0
彰化縣政府水資處,溪州村1,120.49464,23.850536,2025-11-10T13:10:00Z,0.0
嘉義縣政府水利處,CYC026 新港鄉宮前村,120.34702,23.55417,2025-11-10T13:41:29Z,0.0
臺南市政府水利局,學甲區-秀昌里煥昌文衡殿廣場(編號275),120.18258,23.239206,2025-11-10T14:00:00Z,0.0
臺南市政府水利局,永康區-南工街347號(編號251),120.236336,23.013945,2025-11-10T14:00:00Z,0.0
嘉義縣政府水利處,嘉義縣-106,120.1848,23.4399,2025-11-10T13:01:00Z,0.0
嘉義縣政府水利處,嘉義縣-106,120.1848,23.4399,2025-11-10T13:01:00Z,0.0
臺南市政府水利局,仁德區-二行里行大街172巷17號(編號234),120.218895,22.915411,2025-11-10T14:00:00Z,0.0
台中市政府水利局,潭子區新興路一段31巷31號,120.70905,24.198805,2025-11-10T13:44:00Z,0.0
水利署水文技術組,東港(1),120.45589,22.470135,2025-11-10T13:10:00Z,0.707
嘉義縣政府水利處,埤子頭抽水站(004),120.33794,23.578072,2025-11-10T13:03:00Z,5.0
嘉義縣政府水利處,埤子頭抽水站(004),120.33794,23.578072,2025-11-10T13:03:00Z,3.11
嘉義縣政府水利處,埤子頭抽水站(004),120.33794,23.578072,2025-11-10T13:03:00Z,3.07
嘉義縣政府水利處,埤子頭抽水站(004),120.33794,23.578072,2025-11-10T13:03:00Z,7.18
第五河川分署,108P044口湖青蚶村保安宮,120.16429,23.596766,2025-11-04T08:12:23Z,0.0
新竹市政府消防局,天府路一段,120.94278,24.834532,2025-11-10T13:50:00Z,0.0
第九河川分署,卓溪鄉立山村-山里一號橋右岸,121.3131,23.43092,2025-11-10T13:07:00Z,0.0
雲林縣政府水利處,新豐里_振安路,120.45878,23.787764,2025-11-10T13:00:43Z,13.424547195435
雲林縣政府水利處,新豐里_振安路,120.45878,23.787764,2025-11-10T13:00:43Z,0.0
雲林縣政府水利處,新豐里_振安路,120.45878,23.787764,2025-11-10T13:00:43Z,-63.0
水利署水文技術組,東河,121.304726,22.971167,2025-11-10T13:10:00Z,15.47
農田水利署桃園管理處,湖口1-3,121.08448,24.961367,2025-11-10T13:10:00Z,3.6500000953674
水利署水文技術組,蘆洲(1),121.46467,25.08867,2025-11-10T13:10:00Z,-1.164
水利署水文技術組,明德(4),120.19928,23.652914,2025-11-10T13:10:00Z,-13.317
台中市政府水利局,大肚區遊園路二段162號,120.58054,24.172709,2025-11-10T13:23:00Z,0.0
水利署水文技術組,思源橋,121.76894,24.961798,2025-11-10T13:10:00Z,264.53
水利署水文技術組,潮寮(2),120.42517,22.564314,2025-11-10T13:10:00Z,5.197
雲林縣政府水利處,湳仔排水一,120.3998,23.6662,2025-11-10T13:02:03Z,12.751776695251
